Topic_code,Topic_desc,DataSet_code,DataSet_desc,Country_code,Country_desc,Flow_code,Flow_desc,Indicator_code,Indicator_desc,Partner_Country_code,Partner_Country_desc,Unit_code,Unit_desc,Year,Value,Value_Flag,Notes_Export
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2012,369733000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2013,367729000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2014,259918000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2015,234428000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTEP,Electronic data processing and office equipment,WL,World,UC,US dollar at current prices,2016,281117000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1990,441505280,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1991,360595040,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1992,372089984,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1993,395730112,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1994,409230112,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1995,400194912,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1996,452688256,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1997,609615872,,
